Tweets,Sentimental Analysis
bYA GIRL GOT STABBEDnnCOVIDvaccine JohnsonAndJohnsonVaccine httpstcoOpNcmqOd,Natural 
bEveryone should read this COVID HerdImmunity COVIDvaccine nhttpstcoyWYQvYlxWu,Natural 
bGot my dose johnsonandjohnson COVIDvaccine today Cried with relief when I got it ThankyouMrPresident JoeBiden,Natural 
bThis morning we trained medical and physician students how to give COVIDvaccine and this afternoon my daughter gotxexxa httpstcoCZsdiHkEQ,Natural 
bHypocrisy of all hypocrisies  facebook censors Mark Zuckerberg nnZuck got Zucked nnxfxfxxxfxfxxxfxfxxxfxfxxxfxfxxxfxfxxxfxfxxxfxfxxncovidvaccinexexxa httpstcoWpTMRxyxf,Negative 
bPlz StayHomexcxaxefxbfxbc WearAMaskxcxaxefxbfxbc SocialDistance WashYourHandsxcxaxefxbfxbc nnLetxexxs all pull together BeMature ampxexxa httpstcoYSkOMZP,Positive 
bThe business of savings lives doesnxexxt stop on holiday weekends xfxfxxxfxfxxxfxfxxBetterDaysAreComing BetterdaysAreHerexexxa httpstcoIIpBLxqamn,Natural 
b CVS locations show CovidVaccine slots in CAnArvinnBakersfieldnChiconClovisnFresnonMaderanPalm SpringsnPortervixexxa httpstcotNYrlhXc,Positive 
b Rite Aids show CovidVaccine slots in CAnAnaheimnBellflowernBeverly HillsnChatsworthnCypressnFresnonGlendalenIxexxa httpstcolyavWg,Natural 
bGOVERNING Californians aged  years and older are now eligible to receive the CovidVaccine and in two weeks thxexxa httpstcoiVnGitgNk,Positive 
bTook a break during our COVID vaccine clinic and looked out the window to see my recently vaccinated patient gettinxexxa httpstcoGDmqoxMI,Natural 
bCalifornians aged  years and older are now eligible to receive the CovidVaccine and in two weeks the eligibilitxexxa httpstcoEsMnnfAseY,Natural 
bThose who dont know history are doomed to repeat it Edmund Burke nnwwiihistory neverforgetxexxa httpstcoFCWfQDmkvR,Natural 
bClinical Trial Evaluating COVID Variant Vaccine BeginsnhttpstcotWdMqZwfnclinicaltrials  COVIDvaccinexexxa httpstcobInIlmGBl,Natural 
bGot my first dose of the COVIDvaccine today xfxfxx One step closer to ending this pandemic VaccinesSaveLives,Natural 
bHappy Easter Semana Santa to friends amp followersnnToday WestGateTunnelProject Planning AirQuality COVIDVicxexxa httpstcooxXyXRVjy,Natural 
bPlz StayHomexcxaxefxbfxbc WearAMaskxcxaxefxbfxbc SocialDistance WashYourHandsxcxaxefxbfxbc nnLetxexxs all pull together BeMature ampxexxa httpstcoVnFDpZzFk,Natural 
bThere are some people who will without question benefit from the covidvaccine httpstcoRvRNSeeeK,Negative 
bI had a migraine every day after my first covid shot on St Patricks day I got Maderna I get my next one April xexxa httpstcoCDysEGL,Natural 
bStay vigilant folks nCovidVaccine httpstcoRpEPSngJ,Positive 
bPlz StayHomexcxaxefxbfxbc WearAMaskxcxaxefxbfxbc SocialDistance WashYourHandsxcxaxefxbfxbc nnLetxexxs all pull together BeMature ampxexxa httpstcoOrWbVKfjj,Positive 
bMy Saturday night icing my covid vaccine injection site while simultaneously applying a heating pad to my postsurxexxa httpstcovJDbxTLM,Negative 
bWell I definitely feel like my immune system has engaged Ramxcxbn just felt my forehead he said Ixexxm extremely warmxexxa httpstcognPcdmMqb,Natural 
bAgree with the need to fight COVIDSecondWave with COVIDvaccine xfxfxx pfizer moderna_tx AstraZeneca GetVaccinatedxexxa httpstcoLVvOpALt,Negative 
bst dose vaccine progress nnxexxxexxxexxxexxxexxxexxxexxxexxxexxxexxxexxxexxxexxxexxxexx  of USnnnd dose vaccine progress nnxexxxexxxexxxexxxexxxexxxexxxexxxexxxexxxexxxexxxexxxexxxexx  of Uxexxa httpstcoSAASMGwa,Positive 
bitsJeffTiedrich Isnxexxt it interesting that all those in the GOP that have bitched for years about Obamacare andoxexxa httpstcoldsTJgZ,Positive 
bScheduled my COVID vaccine Hope they have a cot or Ill end up on the floor COVIDvaccine fearofneedlesxexxa httpstcohUDMkFfyt,Positive 
bDramatic and onbrandCOVID COVIDvaccine httpstcoqbNEujuJ,Positive 
